# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244447e+01  1  1.000000000000000e+00  1.170557506900000e+01  5.047666266100000e+01
2.500000000000000e-01  20856  1.470460669933452e+01  1  1.000000000000000e+00  1.284247939900000e+01  6.175849543200000e+01
1.767766950000000e-01  28264  1.126669482811422e+01  1  1.000000000000000e+00  1.805936978400000e+01  8.922415415200000e+01
1.250000000000000e-01  59030  6.845301966351848e+00  2  1.000000000000000e+00  3.768215898800000e+01  2.445236086170000e+02
8.838834800000001e-02  169549  3.367310415662919e+00  2  1.000000000000000e+00  1.095714203760000e+02  6.445905539880000e+02
