# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  0.000000000000000e+00  11  1.733015915854776e+00  3.130948601000000e+00  1.144699987000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  12  1.706538639125905e+00  4.915820347000000e+00  1.507026340000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  12  1.765361167156271e+00  6.823895491000000e+00  2.265802003000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  13  1.890923077648188e+00  1.368342896800000e+01  6.957953149000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  13  1.885991758266149e+00  4.115309645200000e+01  2.050162281000000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  13  1.851288897846003e+00  1.047957120700000e+02  5.376208434400000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  14  2.063532750946206e+00  2.982793650080000e+02  2.537802970390000e+02
3.125000000000000e-02  3443619  0.000000000000000e+00  13  1.819962593299294e+00  8.018518777080000e+02  6.183618196760000e+02
