# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  11  1.733015937657707e+00  2.705983034000000e+00  6.900008490000000e-01
2.500000000000000e-01  20856  2.470328229206233e-323  12  1.706543529902827e+00  3.296531587000000e+00  8.783541330000000e-01
1.767766950000000e-01  28264  2.470328229206233e-323  12  1.765505019574533e+00  5.396634226000000e+00  2.074810433000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  13  1.891689173387073e+00  1.372926350000000e+01  6.283417868000000e+00
8.838834800000001e-02  169549  2.470328229206233e-323  13  1.916236135950231e+00  3.818760798100000e+01  1.741445975000000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  13  1.916475430623440e+00  9.862320953000000e+01  4.516884460000000e+01
4.420000000000000e-02  1270577  2.470328229206233e-323  14  2.207759663393768e+00  2.990818478090000e+02  2.177153044380000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  13  2.000891162873108e+00  8.068994764150000e+02  5.378614046760000e+02
