# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953159614823162e-310  9  1.367634360501274e+00  1.114987280000000e-01  4.925340140000000e-01
2.500000000000000e-01  20856  6.953159614823162e-310  10  1.355884325503901e+00  1.325897320000000e-01  5.710620030000000e-01
1.767766950000000e-01  28264  6.953159614823162e-310  10  1.467110065326545e+00  1.977533020000000e-01  9.035977740000001e-01
1.250000000000000e-01  59030  6.953159614823162e-310  11  1.586591558128255e+00  4.028621010000000e-01  4.249406878000000e+00
8.838834800000001e-02  169549  6.953159614823162e-310  12  1.715907922241068e+00  2.330525545000000e+00  1.541466482100000e+01
6.250000000000000e-02  445496  6.953159614823162e-310  13  1.914594562309189e+00  4.902732577000000e+00  5.013340032400000e+01
4.420000000000000e-02  1270577  6.953159614823162e-310  14  2.149410117629485e+00  1.634462237000000e+01  1.345055417180000e+02
3.125000000000000e-02  3443619  6.953159614823162e-310  16  2.404725606459533e+00  4.808166311400001e+01  4.090462808960000e+02
