# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953316569302675e-310  10  1.600295061627989e+00  4.968876112000000e+00  4.728136757000000e+00
2.500000000000000e-01  20856  6.953316569302675e-310  11  1.879622441304173e+00  7.983597418000000e+00  6.289998938000000e+00
1.767766950000000e-01  28264  6.953316569302675e-310  14  2.636119869785217e+00  8.320213937000000e+00  1.155545775600000e+01
1.250000000000000e-01  59030  6.953316569302675e-310  17  3.509126989505648e+00  1.718717117200000e+01  4.192235693500000e+01
8.838834800000001e-02  169549  6.953316569302675e-310  20  4.929852896582212e+00  4.601385997000000e+01  1.656417472240000e+02
6.250000000000000e-02  445496  6.953316569302675e-310  24  6.628858272451258e+00  1.179641794870000e+02  5.948574114629999e+02
4.420000000000000e-02  1270577  6.953316569302675e-310  30  9.517302950381508e+00  3.368752920500000e+02  2.603879663508000e+03
3.125000000000000e-02  3443619  6.953316569302675e-310  35  1.308072948724534e+01  9.614834226940000e+02  9.758893031993999e+03
