# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  10  1.577069412533164e+00  2.892452310000000e+00  1.122965389000000e+00
2.500000000000000e-01  20856  2.470328229206233e-323  11  1.844443881762011e+00  4.926166276000000e+00  1.464477540000000e+00
1.767766950000000e-01  28264  2.470328229206233e-323  13  2.479194066439446e+00  6.813771655000000e+00  2.592961099000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  16  3.205000703483093e+00  1.389079083700000e+01  9.237949975999999e+00
8.838834800000001e-02  169549  2.470328229206233e-323  19  4.423446586121371e+00  3.828753659900000e+01  3.114539924700000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  23  5.787169871450963e+00  9.805874476500000e+01  1.052331033550000e+02
4.420000000000000e-02  1270577  2.470328229206233e-323  27  8.114940826258341e+00  2.977707159970000e+02  3.881758734020000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  31  1.105088608361425e+01  8.017310153619999e+02  1.349821093840000e+03
