# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953213686011309e-310  10  1.510439362061976e+00  1.485385687600000e+01  7.906771603000000e+00
2.500000000000000e-01  20856  6.953213686011309e-310  11  1.755693850041893e+00  1.318814966500000e+01  1.207746511600000e+01
1.767766950000000e-01  28264  6.953213686011309e-310  13  2.329665966157787e+00  1.865437033800000e+01  1.889010459900000e+01
1.250000000000000e-01  59030  6.953213686011309e-310  16  3.031616066614168e+00  3.229532348200000e+01  5.849283533500000e+01
8.838834800000001e-02  169549  6.953213686011309e-310  19  4.174084185573877e+00  9.846473622900000e+01  2.338915092850000e+02
6.250000000000000e-02  445496  6.953213686011309e-310  22  5.477590093314279e+00  2.567216333040000e+02  7.696980967340000e+02
