# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953165960123271e-310  9  1.321441089418488e+00  5.025071269000000e+00  8.445888360000000e-01
2.500000000000000e-01  20856  6.953165960123271e-310  8  1.237547065712746e+00  6.006584468000001e+00  9.642595160000000e-01
1.767766950000000e-01  28264  6.953165960123271e-310  9  1.306186384925749e+00  8.228407968999999e+00  1.637508317000000e+00
1.250000000000000e-01  59030  6.953165960123271e-310  9  1.281532304574463e+00  1.673167883000000e+01  4.501978780000000e+00
8.838834800000001e-02  169549  6.953165960123271e-310  9  1.297635800550413e+00  4.717087150300000e+01  1.234946563600000e+01
6.250000000000000e-02  445496  6.953165960123271e-310  9  1.287562147573977e+00  1.242962074370000e+02  3.976423031400000e+01
4.420000000000000e-02  1270577  6.953165960123271e-310  10  1.383841858356646e+00  3.775665489280000e+02  9.816948605499999e+01
3.125000000000000e-02  3443619  6.953165960123271e-310  11  1.700429083725112e+00  8.698781039660000e+02  3.402157512510000e+02
