# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  11  1.733034250191731e+00  2.699147176000000e+00  5.080716390000000e-01
2.500000000000000e-01  20856  2.470328229206233e-323  12  1.707959337877946e+00  3.294484532000000e+00  6.127553370000000e-01
1.767766950000000e-01  28264  2.470328229206233e-323  12  1.770903558839617e+00  5.615297830999999e+00  1.415779983000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  13  1.896710178250457e+00  1.651200837900000e+01  4.648750734000000e+00
8.838834800000001e-02  169549  2.470328229206233e-323  13  1.886227482128993e+00  3.845973553700000e+01  1.166773403700000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  13  1.875558897544900e+00  9.824281231300000e+01  2.923385588200000e+01
4.420000000000000e-02  1270577  2.470328229206233e-323  14  2.499508454564539e+00  2.855414037670000e+02  1.180794274700000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  15  3.246968423678028e+00  8.031213173230001e+02  3.238618240690000e+02
