# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244440e+01  11  1.000000000000000e+00  8.772745436999999e+00  7.116815300000000e-02
2.500000000000000e-01  20856  1.470460669933472e+01  26  1.000000000000000e+00  1.088634360700000e+01  1.710282240000000e-01
1.767766950000000e-01  28264  1.126669482810822e+01  43  1.000000000000000e+00  1.528923400800000e+01  4.428197620000000e-01
1.250000000000000e-01  59030  6.845301966350366e+00  55  1.000000000000000e+00  4.296296678800000e+01  1.260441821900000e+01
8.838834800000001e-02  169549  3.367310415660782e+00  110  1.000000000000000e+00  8.741150047799999e+01  3.193495403900000e+01
6.250000000000000e-02  445496  1.751542268870463e+00  138  1.000000000000000e+00  2.473830649430000e+02  7.470309724800001e+01
4.420000000000000e-02  1270577  8.577982632738156e-01  234  1.000000000000000e+00  7.185614367370000e+02  2.970916171410000e+02
3.125000000000000e-02  3443619  4.371149087492883e-01  337  1.000000000000000e+00  1.819231560613000e+03  1.072970559004000e+03
