# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  10  1.577069955474955e+00  2.909242210000000e+00  1.651858854000000e+00
2.500000000000000e-01  20856  2.470328229206233e-323  11  1.844506908649836e+00  4.935923138000000e+00  2.224614127000000e+00
1.767766950000000e-01  28264  2.470328229206233e-323  13  2.475445638539580e+00  6.784346844000000e+00  4.108402182000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  16  3.196817007470230e+00  1.371481023600000e+01  1.450907237400000e+01
8.838834800000001e-02  169549  2.470328229206233e-323  19  4.400823558898125e+00  3.839826230600000e+01  5.315761457000000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  23  5.754349281907598e+00  1.010400783320000e+02  1.919285219640000e+02
4.420000000000000e-02  1270577  2.470328229206233e-323  27  8.073038575107821e+00  2.986993478350000e+02  7.265366814830001e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  31  1.100251753840535e+01  8.068230198500000e+02  2.568198647575000e+03
