# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.952892170634199e-310  9  1.367634900295633e+00  5.983595834000000e+00  4.357013179000000e+00
2.500000000000000e-01  20856  6.952892170634199e-310  10  1.355884527606658e+00  7.319683364999999e+00  6.964235323000000e+00
1.767766950000000e-01  28264  6.952892170634199e-310  10  1.467113668327946e+00  9.398545049999999e+00  1.262151858900000e+01
1.250000000000000e-01  59030  6.952892170634199e-310  11  1.586586375496265e+00  1.949389450000000e+01  3.517929691900000e+01
8.838834800000001e-02  169549  6.952892170634199e-310  12  1.715494626340754e+00  7.192679135500001e+01  1.298945398700000e+02
6.250000000000000e-02  445496  6.952892170634199e-310  13  1.914443551595635e+00  1.269527545530000e+02  4.247817198480000e+02
4.420000000000000e-02  1270577  6.952892170634199e-310  14  2.148236309698507e+00  4.206852343790000e+02  1.511618041348000e+03
