# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.952540527515030e-310  10  1.600400572352614e+00  1.025624827700000e+01  1.734409064000000e+00
2.500000000000000e-01  20856  6.952540527515030e-310  11  1.879376398671483e+00  1.283529720600000e+01  2.088668577000000e+00
1.767766950000000e-01  28264  6.952540527515030e-310  14  2.636077104169703e+00  1.680130575400000e+01  3.743894826000000e+00
1.250000000000000e-01  59030  6.952540527515030e-310  17  3.509119145093200e+00  3.453552355000000e+01  2.315035855400000e+01
8.838834800000001e-02  169549  6.952540527515030e-310  20  4.929853474299529e+00  1.152699448030000e+02  5.866756170700000e+01
6.250000000000000e-02  445496  6.952540527515030e-310  24  6.628849222714787e+00  2.560116592160000e+02  1.319004339810000e+02
4.420000000000000e-02  1270577  6.952540527515030e-310  30  9.517279770854316e+00  7.155250095610000e+02  4.475009842800000e+02
3.125000000000000e-02  3443619  6.952540527515030e-310  35  1.308073740361971e+01  1.952563770222000e+03  1.406127607540000e+03
