# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.910245222591708e-310  6  1.069371609833667e+00  2.808098411000000e+00  5.604114700000000e-01
2.500000000000000e-01  20856  6.910245222591708e-310  7  1.100655844105875e+00  3.723845240000000e+00  1.130716642000000e+00
1.767766950000000e-01  28264  6.910245222591708e-310  7  1.118634530283680e+00  7.221925017000000e+00  1.879220640000000e+00
1.250000000000000e-01  59030  6.910245222591708e-310  8  1.153073752443201e+00  1.359865695418100e+04  4.018048655000000e+00
8.838834800000001e-02  169549  6.910245222591708e-310  8  1.181020036789519e+00  3.935810635400000e+01  1.724692323800000e+01
6.250000000000000e-02  445496  6.910245222591708e-310  8  1.181611213625684e+00  1.085926916260000e+02  4.585323596800000e+01
4.420000000000000e-02  1270577  6.910245222591708e-310  9  1.320541331201045e+00  3.241107674130000e+02  1.611415959460000e+02
3.125000000000000e-02  3443619  6.910245222591708e-310  11  1.710120545030383e+00  9.009010089450001e+02  5.393645988910000e+02
