# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  0.000000000000000e+00  10  1.470510763261192e+00  1.657324600000000e-01  7.495735990000001e-01
1.767766950000000e-01  12175  0.000000000000000e+00  12  1.636112620587143e+00  4.472667480000000e-01  1.821044664000000e+00
1.250000000000000e-01  33836  0.000000000000000e+00  12  1.696247082925178e+00  2.102234000000000e+00  1.527772906600000e+01
8.838834800000001e-02  94037  0.000000000000000e+00  14  2.264818122795953e+00  6.731944428000001e+00  3.271119305100000e+01
6.250000000000000e-02  262213  0.000000000000000e+00  16  3.087838259180716e+00  1.909864639700000e+01  8.931604965500000e+01
4.420000000000000e-02  733533  0.000000000000000e+00  18  4.440506206927541e+00  5.612348674900001e+01  2.616541746480000e+02
3.125000000000000e-02  2061066  0.000000000000000e+00  21  6.154392587531376e+00  1.639677611270000e+02  8.141126075940000e+02
