# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
6.250000000000000e-02  445496  6.952971445199071e-310  549  1.434872061178238e+04  1.793192726460000e+02  7.507104194199999e+01
4.420000000000000e-02  1270577  6.952971445199071e-310  980  3.709079692096089e+04  4.959556404430000e+02  2.267862682610000e+02
3.125000000000000e-02  3443619  6.952971445199071e-310  1546  9.622747413972284e+04  1.414680426163000e+03  6.476300105300000e+02
