# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  9  1.320689052479182e+00  2.823123820000000e+00  8.523321440000000e-01
2.500000000000000e-01  20856  2.470328229206233e-323  8  1.228635110401586e+00  3.774614056000000e+00  1.608336552000000e+00
1.767766950000000e-01  28264  2.470328229206233e-323  9  1.292675649160792e+00  7.581652184000000e+00  2.748315633000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  9  1.262106136609273e+00  1.488300202500000e+01  8.072789190000000e+00
8.838834800000001e-02  169549  2.470328229206233e-323  9  1.280771232513485e+00  4.542992689900000e+01  2.674024555700000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  9  1.277373868480721e+00  1.143477365180000e+02  6.689538062800000e+01
4.420000000000000e-02  1270577  2.470328229206233e-323  9  1.330077005864956e+00  3.429764722230000e+02  2.314337720460000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  9  1.241660129221819e+00  9.744877099820000e+02  7.690616810790000e+02
