# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.949037494921991e-310  9  1.320691255757056e+00  5.483505219000000e+00  1.828676501000000e+00
2.500000000000000e-01  20856  6.949037494921991e-310  8  1.228947447461806e+00  6.763090118000000e+00  1.557100367000000e+00
1.767766950000000e-01  28264  6.949037494921991e-310  9  1.293653178095468e+00  8.889389028000000e+00  3.126902087000000e+00
1.250000000000000e-01  59030  6.949037494921991e-310  9  1.262841470039829e+00  1.851937074500000e+01  7.917696753000000e+00
8.838834800000001e-02  169549  6.949037494921991e-310  9  1.281826966349392e+00  5.460308794300000e+01  2.093052325600000e+01
6.250000000000000e-02  445496  6.949037494921991e-310  9  1.277750627376585e+00  1.201281316280000e+02  6.575657760300000e+01
4.420000000000000e-02  1270577  6.949037494921991e-310  9  1.331281744718064e+00  3.514295080550000e+02  1.932039625150000e+02
3.125000000000000e-02  3443619  6.949037494921991e-310  9  1.242973041872177e+00  1.005699729384000e+03  5.997553649410000e+02
