# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  6.948452915424151e-310  11  1.581207933855269e+00  1.649268960000000e-01  7.349528730000000e-01
1.767766950000000e-01  12175  6.948452915424151e-310  12  1.859434189930870e+00  4.268894980000000e-01  1.402511027000000e+00
1.250000000000000e-01  33836  6.948452915424151e-310  13  2.452529244458175e+00  1.168563776000000e+00  6.887372005000000e+00
8.838834800000001e-02  94037  6.948452915424151e-310  14  3.568927412009475e+00  4.705508557000001e+00  1.835552447200000e+01
6.250000000000000e-02  262213  6.948452915424151e-310  16  5.062306100997455e+00  1.285488527200000e+01  4.894506937300000e+01
4.420000000000000e-02  733533  6.948452915424151e-310  18  7.384188758613727e+00  3.971481680700000e+01  1.380002247070000e+02
3.125000000000000e-02  2061066  6.948452915424151e-310  20  1.040846043128989e+01  1.185578122890000e+02  4.061986597810000e+02
