# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953055325164055e-310  5  1.000000000000000e+00  9.377193946000000e+00  9.149357357900000e+01
2.500000000000000e-01  20856  6.953055325164055e-310  7  1.000000000000000e+00  1.494124048800000e+01  1.428717345440000e+02
1.767766950000000e-01  28264  6.953055325164055e-310  7  1.000000000000000e+00  2.326228119600000e+01  2.234753971440000e+02
1.250000000000000e-01  59030  6.953055325164055e-310  9  1.000000000000000e+00  4.813815356100000e+01  5.647087347880000e+02
8.838834800000001e-02  169549  6.953055325164055e-310  10  1.000000000000000e+00  1.367302862080000e+02  1.470775586803000e+03
