# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
1.250000000000000e-01  59030  0.000000000000000e+00  24  7.534745289320766e+00  1.334410612400000e+01  3.126361266000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.402122095999999e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.642370483000001e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.539427236000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.626383284999999e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.660981189999999e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.549049706000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.920404710000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.560880159000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.616761996999999e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.591008326000001e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.548426557000001e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.601357326000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.647666266000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.612463111000000e+00
8.838834800000001e-02  169549  0.000000000000000e+00  28  1.134495935962355e+01  3.795929199000000e+01  9.548517924000000e+00
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.466773257000000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.464333575200000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.471292518100000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.470493492900000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.469234740200000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.482982747500000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.475770484600000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.462346572400000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.457534867400000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.468663770500000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.462640922800000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.473964097400000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.461137593600000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.471871852700000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  31  1.546783225105076e+01  9.827043105799999e+01  2.476305571200000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.738231685200000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.735933796400001e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.743903791600000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.722354537699999e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.779455029700000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.725042966900000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.802905603600000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.882161936500000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.788280916799999e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.722724441299999e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.724954663100000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.876041266800000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.853065607900000e+01
4.420000000000000e-02  1270577  0.000000000000000e+00  39  2.305663328887616e+01  2.957160073960000e+02  7.867844650100000e+01
4.420000000000000e-02  1270577  7.064154069270676e-304  39  2.305663328887616e+01  2.956406557440000e+02  7.730003770499999e+01
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.128280728780000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.129432438610000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.130685904890000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.129598160070000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.136438758020000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.134248410720000e+02
3.125000000000000e-02  3443619  9.881312916824931e-324  44  3.211575507244335e+01  7.927642992720000e+02  2.144618815400000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.138466586510000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.122856020450000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.140606311790000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.134946594840000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.137643921060000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.129559781400000e+02
3.125000000000000e-02  3443619  1.976262583364986e-323  44  3.211575507244335e+01  7.813207724390001e+02  2.128175322180000e+02
3.125000000000000e-02  3443619  7.064154069270676e-304  44  3.211575507244335e+01  7.861222615320000e+02  2.114076889640000e+02
