# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  0.000000000000000e+00  28  4.406222492052313e+00  7.667416700000002e-02  8.227516209000001e+00
1.767766950000000e-01  12175  0.000000000000000e+00  35  5.157048611648395e+00  1.888432000000000e-01  1.384146507900000e+01
1.250000000000000e-01  33836  0.000000000000000e+00  41  7.063756827335842e+00  5.426458280000001e-01  4.059484870400000e+01
8.838834800000001e-02  94037  0.000000000000000e+00  50  1.018432578932991e+01  2.302777275000000e+00  9.909012007300001e+01
6.250000000000000e-02  262213  0.000000000000000e+00  61  1.446879473644889e+01  7.039855327000001e+00  2.418230969390000e+02
4.420000000000000e-02  733533  0.000000000000000e+00  76  2.067242680685025e+01  2.105139213700000e+01  8.852689714450000e+02
3.125000000000000e-02  2061066  0.000000000000000e+00  95  2.890619960577541e+01  5.977955586800000e+01  3.370424460035000e+03
