# h                    #cell      L2_error           #iteration     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244805e+01  14  4.569698847000000e+00  4.961316100000000e-02
2.500000000000000e-01  20856  1.470460669932765e+01  39  8.390817553000000e+00  1.134868470000000e-01
1.767766950000000e-01  28264  1.126669482811445e+01  83  1.101838308700000e+01  3.297543020000000e-01
1.250000000000000e-01  59030  6.845301966346782e+00  114  2.360353199000000e+01  4.432468025000000e+00
8.838834800000001e-02  169549  3.367310415659951e+00  216  6.644931636400000e+01  2.234395701300000e+01
6.250000000000000e-02  445496  1.751542268867185e+00  370  1.690707366110000e+02  7.983209631299999e+01
4.420000000000000e-02  1270577  8.577982632775059e-01  591  4.992202499340000e+02  3.037674877300000e+02
