# h                        L2_error
3.535533910000000e-01  1.821919796244805e+01
2.500000000000000e-01  1.470460669932765e+01
1.767766950000000e-01  1.126669482811445e+01
1.250000000000000e-01  6.845301966346782e+00
8.838834800000001e-02  3.367310415659951e+00
6.250000000000000e-02  1.751542268867185e+00
4.420000000000000e-02  8.577982632775059e-01
