# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  3.556091164381750e+00  10  1.397784002839374e+00  1.661647820000000e-01  6.629814310000001e-01
1.767766950000000e-01  12175  1.814347511762222e+00  11  1.625628006790393e+00  4.348233870000001e-01  1.288527626000000e+00
1.250000000000000e-01  33836  8.771381839164087e-01  13  2.142354931344962e+00  1.211321976000000e+00  9.148798570000000e+00
8.838834800000001e-02  94037  4.277197202753415e-01  16  3.064771268056845e+00  4.940320078000000e+00  2.021825073600000e+01
6.250000000000000e-02  262213  2.098336577153475e-01  20  4.438045622997800e+00  1.369467584500000e+01  5.373991713600000e+01
4.420000000000000e-02  733533  1.037748208814979e-01  28  7.045767168464957e+00  3.999647412700000e+01  1.605630988150000e+02
3.125000000000000e-02  2061066  5.124829249387927e-02  39  1.121325184548061e+01  1.188213920550000e+02  5.368783642410000e+02
