# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953099677567318e-310  9  1.367862387223135e+00  1.120278200000000e-01  3.860114100000000e-01
2.500000000000000e-01  20856  6.953099677567318e-310  10  1.361531292508276e+00  1.345821410000000e-01  4.579482240000000e-01
1.767766950000000e-01  28264  6.953099677567318e-310  11  1.493812187186118e+00  2.007705130000000e-01  7.092704180000000e-01
1.250000000000000e-01  59030  6.953099677567318e-310  11  1.623344608712509e+00  4.081066610000000e-01  2.690194246000000e+00
8.838834800000001e-02  169549  6.953099677567318e-310  13  2.193035084363484e+00  2.155404573000000e+00  1.048372294700000e+01
6.250000000000000e-02  445496  6.953099677567318e-310  15  2.842383465373889e+00  5.657017899000000e+00  2.624997636100000e+01
4.420000000000000e-02  1270577  6.953099677567318e-310  19  4.053950690150153e+00  1.760082609900000e+01  7.498711258400000e+01
3.125000000000000e-02  3443619  6.953099677567318e-310  23  5.663246461747383e+00  4.175029530500000e+01  2.229591264560000e+02
