# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.952932489088103e-310  9  1.367679686879060e+00  6.002380168000000e+00  1.001563965000000e+00
2.500000000000000e-01  20856  6.952932489088103e-310  10  1.355898737432218e+00  9.515446066999999e+00  1.447005676000000e+00
1.767766950000000e-01  28264  6.952932489088103e-310  10  1.467762195886516e+00  1.153661664000000e+01  2.036005952000000e+00
1.250000000000000e-01  59030  6.952932489088103e-310  11  1.586952859503070e+00  2.555089236900000e+01  5.125402467000000e+00
8.838834800000001e-02  169549  6.952932489088103e-310  12  1.724508372932636e+00  5.554040455499999e+01  1.200621318100000e+01
6.250000000000000e-02  445496  6.952932489088103e-310  13  1.916986785649677e+00  1.676566374910000e+02  4.050714571800000e+01
4.420000000000000e-02  1270577  6.952932489088103e-310  15  2.419553761208334e+00  4.488745430940000e+02  9.252895994100000e+01
3.125000000000000e-02  3443619  6.952932489088103e-310  17  3.242491864314007e+00  1.063405390986000e+03  2.554104132640000e+02
