# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  3.581101830907244e+00  52  7.977108297100645e+01  8.929327590000000e-01  1.102918100000000e-01
1.767766950000000e-01  12175  1.823872527481990e+00  349  9.003996079336754e+01  2.346077819000000e+00  1.371665956000000e+00
1.250000000000000e-01  33836  8.800009917893861e-01  452  2.857989928912991e+02  7.789626848000000e+00  3.487324116300000e+01
8.838834800000001e-02  94037  4.286831434796650e-01  722  6.365706217281238e+02  2.563065988900000e+01  1.041895433650000e+02
6.250000000000000e-02  262213  2.101657064487555e-01  1056  1.234299386010077e+03  7.084748645000001e+01  2.281123261630000e+02
4.420000000000000e-02  733533  1.038899483325456e-01  1769  2.997297391407973e+03  1.970319152790000e+02  8.429063410830000e+02
3.125000000000000e-02  2061066  1.051878503513163e+01  600  1.033780772858267e+04  5.569206395740000e+02  7.621270625480000e+02
