# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  11  1.733020067444308e+00  2.754971614000000e+00  5.781846210000000e-01
2.500000000000000e-01  20856  2.470328229206233e-323  12  1.706764883043680e+00  3.359854310000000e+00  7.117316330000000e-01
1.767766950000000e-01  28264  2.470328229206233e-323  12  1.783415546022994e+00  5.984126997000001e+00  1.779361721000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  13  1.946207952944780e+00  1.535790693000000e+01  5.628774618000000e+00
8.838834800000001e-02  169549  2.470328229206233e-323  14  2.019074135984061e+00  3.839224062800000e+01  1.415542752600000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  14  2.076989426961560e+00  1.029632206050000e+02  3.796603545500000e+01
4.420000000000000e-02  1270577  2.470328229206233e-323  14  2.381484245387996e+00  2.979684229040000e+02  1.514573041080000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  15  2.791884505168778e+00  7.989358937250000e+02  4.156165749480000e+02
