# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  6.927103682394027e-310  10  1.465411580995706e+00  1.546440530000000e-01  2.194861120000000e+00
1.767766950000000e-01  12175  6.927103682394027e-310  11  1.633557379715205e+00  4.022388150000000e-01  4.481676828000000e+00
1.250000000000000e-01  33836  6.927103682394027e-310  12  1.666557530909273e+00  1.127731886000000e+00  1.426523856200000e+01
8.838834800000001e-02  94037  6.927103682394027e-310  12  1.809831345476526e+00  4.607188106000001e+00  3.897936780700000e+01
6.250000000000000e-02  262213  6.927103682394027e-310  13  1.864479389717626e+00  1.335335915000000e+01  1.400567647960000e+02
4.420000000000000e-02  733533  6.927103682394027e-310  13  1.996277580685177e+00  3.971471641100000e+01  4.224275795420000e+02
3.125000000000000e-02  2061066  6.927103682394027e-310  14  2.153543261023487e+00  1.184697213530000e+02  1.395255891274000e+03
