# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.918946910405657e-310  10  1.600295041416408e+00  2.990963590000000e+00  5.724262810000000e-01
2.500000000000000e-01  20856  6.918946910405657e-310  11  1.879624520405794e+00  6.938267030000000e+00  1.274015713000000e+00
1.767766950000000e-01  28264  6.918946910405657e-310  14  2.636130702813794e+00  9.337302901999999e+00  1.921947335000000e+00
1.250000000000000e-01  59030  6.918946910405657e-310  17  3.509132964750106e+00  1.892748434800000e+01  7.321889047000000e+00
8.838834800000001e-02  169549  6.918946910405657e-310  20  4.929859849236627e+00  5.653681104800000e+01  2.170234828700000e+01
6.250000000000000e-02  445496  6.918946910405657e-310  24  6.628841961141732e+00  1.391452595120000e+02  5.785363092300000e+01
