# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  0.000000000000000e+00  5  1.032413438398692e+00  2.700609507000000e+00  1.301406679000000e+00
2.500000000000000e-01  20856  0.000000000000000e+00  6  1.067584866434010e+00  4.992205453000000e+00  2.864884892000000e+00
1.767766950000000e-01  28264  0.000000000000000e+00  7  1.109641536228819e+00  6.874677063000000e+00  5.432759063000000e+00
1.250000000000000e-01  59030  0.000000000000000e+00  7  1.124203817511697e+00  1.404106073400000e+01  1.413859933200000e+01
8.838834800000001e-02  169549  0.000000000000000e+00  8  1.152969667153508e+00  3.859084454800000e+01  5.344926444300000e+01
6.250000000000000e-02  445496  0.000000000000000e+00  8  1.169679940878163e+00  1.058568346940000e+02  1.599422243320000e+02
4.420000000000000e-02  1270577  0.000000000000000e+00  8  1.176010572818784e+00  3.005099348130000e+02  5.181188352120000e+02
3.125000000000000e-02  3443619  0.000000000000000e+00  8  1.183395104907184e+00  8.202930699130000e+02  1.577074590358000e+03
