# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.913172620021718e-310  12  1.746375549797848e+00  2.802620983000000e+00  1.778784190000000e-01
2.500000000000000e-01  20856  6.913172620021718e-310  13  1.919802000266975e+00  5.300741029000000e+00  3.505097080000000e-01
1.767766950000000e-01  28264  6.913172620021718e-310  16  2.809590088387838e+00  7.371480191000000e+00  6.137474530000000e-01
1.250000000000000e-01  59030  6.913172620021718e-310  17  3.654123802612530e+00  1.492593403900000e+01  2.088820898000000e+00
8.838834800000001e-02  169549  6.913172620021718e-310  20  5.313472255169173e+00  4.121124387800000e+01  6.426075413000000e+00
6.250000000000000e-02  445496  6.913172620021718e-310  22  6.985313950947347e+00  1.056232606880000e+02  1.460792303300000e+01
4.420000000000000e-02  1270577  6.913172620021718e-310  26  1.025400412017477e+01  3.046515937580000e+02  5.116649078300000e+01
3.125000000000000e-02  3443619  6.913172620021718e-310  30  1.403692261682836e+01  8.327880574880000e+02  1.449438862150000e+02
