# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.953220388075036e-310  11  1.733019624408494e+00  9.129818628999999e+00  2.711268847000000e+00
2.500000000000000e-01  20856  6.953220388075036e-310  12  1.706537709013765e+00  1.164194167300000e+01  3.728578365000000e+00
1.767766950000000e-01  28264  6.953220388075036e-310  12  1.765323437506963e+00  1.526158594700000e+01  5.684269947000000e+00
1.250000000000000e-01  59030  6.953220388075036e-310  13  1.890916709460750e+00  3.077095484500000e+01  1.682657492100000e+01
8.838834800000001e-02  169549  6.953220388075036e-310  13  1.885755149984151e+00  8.719087020100000e+01  5.390652344700000e+01
6.250000000000000e-02  445496  6.953220388075036e-310  13  1.848380490640961e+00  2.252791660670000e+02  1.528904033200000e+02
4.420000000000000e-02  1270577  6.953220388075036e-310  14  2.063350958005226e+00  4.274172216340000e+04  6.113253567020000e+02
