# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  0.000000000000000e+00  10  1.447209186638920e+00  1.676139210000000e-01  2.098366645000000e+00
1.767766950000000e-01  12175  0.000000000000000e+00  12  1.636557653784291e+00  1.089609042000000e+00  6.351040708000000e+00
1.250000000000000e-01  33836  0.000000000000000e+00  12  1.673130695403322e+00  2.471385381000000e+00  1.812207809200000e+01
8.838834800000001e-02  94037  0.000000000000000e+00  13  1.817449111580615e+00  6.572083751000001e+00  4.206513659700001e+01
6.250000000000000e-02  262213  0.000000000000000e+00  13  1.908883431109799e+00  1.861261803000000e+01  1.120646476870000e+02
4.420000000000000e-02  733533  0.000000000000000e+00  14  2.279144265913117e+00  5.537612325700000e+01  3.385136322560000e+02
3.125000000000000e-02  2061066  0.000000000000000e+00  16  2.919494163078656e+00  1.635725418310000e+02  1.117273860802000e+03
