# h                    #cell      L2_error           #iteration     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796245005e+01  15  6.474334134999999e+00  1.345743150000000e-01
2.500000000000000e-01  20856  1.470460669931782e+01  18  1.026520941600000e+01  1.706936720000000e-01
1.767766950000000e-01  28264  1.126669482810505e+01  24  1.380696892800000e+01  3.378720410000000e-01
1.250000000000000e-01  59030  6.845301966345431e+00  29  2.789417861500000e+01  2.946827337000000e+00
8.838834800000001e-02  169549  3.367310415662231e+00  40  7.967751000700000e+01  8.292937501999999e+00
6.250000000000000e-02  445496  1.751542268871198e+00  51  2.166011113460000e+02  2.039708232200000e+01
4.420000000000000e-02  1270577  8.577982632752329e-01  75  5.907060892370000e+02  8.701254360199999e+01
