# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796243996e+01  10  1.000000000000000e+00  1.223754817200000e+01  3.355227230000000e-01
2.500000000000000e-01  20856  1.470460669933450e+01  15  1.000000000000000e+00  1.451137597500000e+01  6.625657330000000e-01
1.767766950000000e-01  28264  1.126669482811747e+01  17  1.000000000000000e+00  2.055462933000000e+01  1.593598729000000e+00
1.250000000000000e-01  59030  6.845301966349301e+00  22  1.000000000000000e+00  4.161177957300000e+01  1.150667099600000e+01
