# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  6.952580092695897e-310  10  1.464945711473572e+00  1.566256260000000e-01  2.648305836000000e+00
1.767766950000000e-01  12175  6.952580092695897e-310  11  1.631303109382392e+00  3.915223340000000e-01  5.835659157000000e+00
1.250000000000000e-01  33836  6.952580092695897e-310  11  1.657041585207651e+00  1.135739861000000e+00  1.548734168700000e+01
8.838834800000001e-02  94037  6.952580092695897e-310  12  1.776519416201740e+00  4.534649105000000e+00  4.158794946500000e+01
6.250000000000000e-02  262213  6.952580092695897e-310  12  1.828193034447411e+00  1.308311176200000e+01  1.296664658110000e+02
4.420000000000000e-02  733533  6.952580092695897e-310  13  1.987066867790834e+00  3.935499186500000e+01  4.206834855180001e+02
3.125000000000000e-02  2061066  6.952580092695897e-310  13  2.039901399188492e+00  1.170921430520000e+02  1.340193837726000e+03
