# h                    #cell      L2_error           #iteration     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796245693e+01  20  9.542353324000000e+00  2.944355103000000e+00
2.500000000000000e-01  20856  1.470460669934697e+01  59  1.130377242600000e+01  9.838922939000000e+00
1.767766950000000e-01  28264  1.126669482809628e+01  89  1.597283650400000e+01  2.120151386800000e+01
1.250000000000000e-01  59030  6.845301966353593e+00  134  3.272513905200000e+01  7.921166663500000e+01
8.838834800000001e-02  169549  3.367310415656108e+00  148  9.314166821700000e+01  2.265691630940000e+02
6.250000000000000e-02  445496  1.751542268867575e+00  175  2.564238868620000e+02  6.051745698410000e+02
4.420000000000000e-02  1270577  8.577982632854656e-01  313  7.750301903930000e+02  2.843125848778000e+03
