# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  2.470328229206233e-323  12  1.775963965524731e+00  2.883644676000000e+00  4.749908440000000e-01
2.500000000000000e-01  20856  2.470328229206233e-323  12  1.831546495213404e+00  3.499362592000000e+00  6.562116140000001e-01
1.767766950000000e-01  28264  2.470328229206233e-323  13  2.055523532700884e+00  7.975622429000000e+00  1.342781927000000e+00
1.250000000000000e-01  59030  2.470328229206233e-323  15  2.319350788311189e+00  1.502453673600000e+01  4.506780634000000e+00
8.838834800000001e-02  169549  2.470328229206233e-323  16  2.987402738355976e+00  4.702135690800000e+01  1.290282153400000e+01
6.250000000000000e-02  445496  2.470328229206233e-323  18  3.921766025192060e+00  1.137585830470000e+02  3.105361494400000e+01
4.420000000000000e-02  1270577  2.470328229206233e-323  20  5.717840417219129e+00  3.031103241320000e+02  1.017757543100000e+02
3.125000000000000e-02  3443619  2.470328229206233e-323  22  7.822065962658959e+00  8.029467249529999e+02  2.834910200840000e+02
