# h                    #cell      L2_error           #iteration     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244805e+01  14  3.538288708000000e+00  1.452523090000000e-01
2.500000000000000e-01  20856  1.470460669932765e+01  39  5.840519885000000e+00  3.798612560000000e-01
1.767766950000000e-01  28264  1.126669482811445e+01  83  1.120952556400000e+01  7.051485840000000e-01
1.250000000000000e-01  59030  6.845301966346782e+00  114  2.356562483300000e+01  6.241545062000000e+00
8.838834800000001e-02  169549  3.367310415659951e+00  216  7.002603272700000e+01  2.548572227200000e+01
6.250000000000000e-02  445496  1.751542268867185e+00  370  1.797452527900000e+02  8.989405293199999e+01
4.420000000000000e-02  1270577  8.577982632775059e-01  591  4.637614229090000e+02  3.611625285540000e+02
