# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.920295788125440e-310  10  1.600295041416408e+00  4.657718031000000e+00  1.077876418000000e+00
2.500000000000000e-01  20856  6.920295788125440e-310  11  1.879624520405794e+00  7.345757177999999e+00  1.391753853000000e+00
1.767766950000000e-01  28264  6.920295788125440e-310  14  2.636130702813794e+00  1.018928212800000e+01  2.260037968000000e+00
1.250000000000000e-01  59030  6.920295788125440e-310  17  3.509132964750106e+00  1.896743018600000e+01  7.569455701000000e+00
8.838834800000001e-02  169549  6.920295788125440e-310  20  4.929859849236627e+00  5.638229378800000e+01  2.178361213800000e+01
6.250000000000000e-02  445496  6.920295788125440e-310  24  6.628841961141732e+00  1.344078838830000e+02  6.524077808400000e+01
4.420000000000000e-02  1270577  6.920295788125440e-310  30  9.515234814833706e+00  4.035948231110000e+02  1.948893503470000e+02
