# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244482e+01  10  1.000000000000000e+00  1.164179443600000e+01  2.237209170000000e-01
2.500000000000000e-01  20856  1.470460669934465e+01  11  1.000000000000000e+00  1.306723607200000e+01  2.688535430000000e-01
1.767766950000000e-01  28264  1.126669482811577e+01  16  1.000000000000000e+00  1.885634106800000e+01  5.060711160000000e-01
1.250000000000000e-01  59030  6.845301966348873e+00  19  1.000000000000000e+00  3.743491585700000e+01  5.162119000000000e+00
8.838834800000001e-02  169549  3.367310415662773e+00  25  1.000000000000000e+00  1.026240148940000e+02  1.224142777500000e+01
6.250000000000000e-02  445496  1.751542268870379e+00  33  1.000000000000000e+00  2.655729093470000e+02  2.961750522300000e+01
4.420000000000000e-02  1270577  8.577982632741917e-01  48  1.000000000000000e+00  7.470953487240000e+02  9.879131923400000e+01
3.125000000000000e-02  3443619  4.371149087478445e-01  61  1.000000000000000e+00  1.997577076964000e+03  3.245778834100000e+02
