# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  6.952735868773508e-310  28  4.450673826138296e+00  8.269326600000000e-02  7.653626580000000e-01
1.767766950000000e-01  12175  6.952735868773508e-310  35  5.223289664991989e+00  2.020596350000000e-01  1.633206401000000e+00
1.250000000000000e-01  33836  6.952735868773508e-310  44  6.709217882755618e+00  5.951939180000000e-01  2.126997880700000e+01
8.838834800000001e-02  94037  6.952735868773508e-310  55  9.978405230660938e+00  3.187439101000000e+00  3.864828487100000e+01
6.250000000000000e-02  262213  6.952735868773508e-310  66  1.394470695450512e+01  1.011505323500000e+01  8.551046985000001e+01
4.420000000000000e-02  733533  6.952735868773508e-310  85  1.970111899772295e+01  2.751744797000000e+01  2.282719692420000e+02
3.125000000000000e-02  2061066  6.952735868773508e-310  105  2.786258915896318e+01  9.013713439100002e+01  7.159555565450000e+02
