# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.908461852140728e-310  9  1.320720247575646e+00  4.350451047000000e+00  1.831568819000000e+00
2.500000000000000e-01  20856  6.908461852140728e-310  8  1.230012160866660e+00  7.211583923000000e+00  1.243089694000000e+00
1.767766950000000e-01  28264  6.908461852140728e-310  9  1.296389298332769e+00  7.853357117000000e+00  2.117938120000000e+00
1.250000000000000e-01  59030  6.908461852140728e-310  9  1.265338346119934e+00  2.271883175600000e+01  6.911885372000000e+00
8.838834800000001e-02  169549  6.908461852140728e-310  9  1.284674309501169e+00  5.128855135400001e+01  2.099362492600000e+01
6.250000000000000e-02  445496  6.908461852140728e-310  9  1.279072824854740e+00  1.256295828250000e+02  4.602616539100000e+01
4.420000000000000e-02  1270577  6.908461852140728e-310  10  1.347943136344974e+00  3.447039701690000e+02  1.424354466590000e+02
3.125000000000000e-02  3443619  6.908461852140728e-310  9  1.248433498285030e+00  9.201334276760001e+02  4.156353362470000e+02
