# h                    #cell      L2_error           #iteration     assemble[s]            solve[s]
3.535533910000000e-01  17496  1.821919796244805e+01  14  5.138891530000000e+00  4.992338900000000e-02
2.500000000000000e-01  20856  1.470460669932765e+01  39  8.217660703000000e+00  1.083994320000000e-01
1.767766950000000e-01  28264  1.126669482811445e+01  83  1.097568276500000e+01  3.288774350000000e-01
1.250000000000000e-01  59030  6.845301966346782e+00  114  2.270087716100000e+01  3.340111177000000e+00
8.838834800000001e-02  169549  3.367310415659951e+00  216  6.445564184500000e+01  2.252749151700000e+01
6.250000000000000e-02  445496  1.751542268867185e+00  370  1.662069212090000e+02  7.805596254400000e+01
4.420000000000000e-02  1270577  8.577982632775059e-01  591  4.693043198470000e+02  2.865536549070000e+02
