# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  3.559142221100812e+00  16  1.711158641489266e+00  1.619251070000000e-01  8.068986090000001e-01
1.767766950000000e-01  12175  1.816532958611104e+00  20  1.965748964438429e+00  4.225687710000000e-01  1.612855288000000e+00
1.250000000000000e-01  33836  8.781939050507241e-01  26  2.673155572445898e+00  1.128529544000000e+00  1.132927456800000e+01
8.838834800000001e-02  94037  4.282149934796786e-01  32  3.785496563597356e+00  4.710596979000001e+00  2.628316057400000e+01
6.250000000000000e-02  262213  2.100447199282219e-01  38  5.527143616904245e+00  1.282551003800000e+01  7.360302700500000e+01
4.420000000000000e-02  733533  1.038591100777928e-01  45  8.472837599933907e+00  4.172818158600000e+01  2.055770680510000e+02
3.125000000000000e-02  2061066  5.127586086805639e-02  52  1.261572117665638e+01  1.191076148760000e+02  6.253170470970000e+02
