# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
2.500000000000000e-01  4449  6.923798783674227e-310  28  4.406214174026225e+00  8.250346000000000e-02  2.192273751000000e+00
1.767766950000000e-01  12175  6.923798783674227e-310  35  5.157096378909825e+00  1.890615170000000e-01  3.991449725000000e+00
1.250000000000000e-01  33836  6.923798783674227e-310  41  7.063316929226417e+00  5.477974290000001e-01  1.935419083600000e+01
8.838834800000001e-02  94037  6.923798783674227e-310  50  1.018480616343073e+01  2.340577604000000e+00  3.613896281900000e+01
6.250000000000000e-02  262213  6.923798783674227e-310  61  1.446921562040790e+01  6.654230876000001e+00  8.841207192100001e+01
4.420000000000000e-02  733533  6.923798783674227e-310  76  2.067515191879556e+01  1.992072098700000e+01  2.771168309210000e+02
3.125000000000000e-02  2061066  6.923798783674227e-310  95  2.890849325649827e+01  5.966441140900000e+01  1.007913707700000e+03
