# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.952852120921177e-310  32  5.954248685634771e+01  7.841317416000000e+00  2.878179470000000e-01
2.500000000000000e-01  20856  6.952852120921177e-310  78  1.938991901191895e+02  8.296746723000000e+00  3.254046900000000e-01
1.767766950000000e-01  28264  6.952852120921177e-310  138  5.908944563196451e+02  1.171271069200000e+01  5.787172269999999e-01
1.250000000000000e-01  59030  6.952852120921177e-310  213  1.612096561957045e+03  2.713942364400000e+01  1.995269658100000e+01
8.838834800000001e-02  169549  6.952852120921177e-310  362  4.793792219030616e+03  8.190147896100000e+01  3.509490682500000e+01
6.250000000000000e-02  445496  6.952971445199071e-310  549  1.434872061178238e+04  1.793192726460000e+02  7.507104194199999e+01
4.420000000000000e-02  1270577  6.952971445199071e-310  980  3.709079692096089e+04  4.959556404430000e+02  2.267862682610000e+02
3.125000000000000e-02  3443619  6.952971445199071e-310  1546  9.622747413972284e+04  1.414680426163000e+03  6.476300105300000e+02
