# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.913445063723796e-310  10  1.577069956916967e+00  2.790275816000000e+00  3.616986675000000e+00
2.500000000000000e-01  20856  6.913445063723796e-310  11  1.844508325002113e+00  5.308221261000000e+00  5.932635054000000e+00
1.767766950000000e-01  28264  6.913445063723796e-310  13  2.474779129783877e+00  8.260855663000001e+00  1.357676592400000e+01
1.250000000000000e-01  59030  6.913445063723796e-310  16  3.193866352538984e+00  1.681487926000000e+01  4.459988217400000e+01
8.838834800000001e-02  169549  6.913445063723796e-310  19  4.380765335339978e+00  4.285121407500000e+01  1.656957776030000e+02
6.250000000000000e-02  445496  6.913445063723796e-310  23  5.719343252366715e+00  1.068997887550000e+02  5.957747349880000e+02
4.420000000000000e-02  1270577  6.913445063723796e-310  27  8.028770557233564e+00  3.038221871520000e+02  2.323512684758000e+03
3.125000000000000e-02  3443619  6.913445063723796e-310  31  1.095562903532733e+01  8.073439023149999e+02  8.163831080564000e+03
