# h                    #cell      L2_error           #iteration      condition_number     assemble[s]            solve[s]
3.535533910000000e-01  17496  6.932271523562336e-310  10  1.583813959505636e+00  2.764954932000000e+00  4.367388910000000e-01
2.500000000000000e-01  20856  6.932271523562336e-310  11  1.858694335325687e+00  3.299304733000000e+00  7.065560870000001e-01
1.767766950000000e-01  28264  6.932271523562336e-310  14  2.578506905413546e+00  7.986848187000001e+00  1.457943130000000e+00
1.250000000000000e-01  59030  6.932271523562336e-310  16  3.386313896777490e+00  1.452245679400000e+01  4.391118548000000e+00
8.838834800000001e-02  169549  6.932271523562336e-310  20  4.762287617534684e+00  4.210304399800000e+01  1.228907898000000e+01
6.250000000000000e-02  445496  6.932271523562336e-310  23  6.346942750367681e+00  1.074270213680000e+02  3.257300935300000e+01
4.420000000000000e-02  1270577  6.932271523562336e-310  29  9.021358233121120e+00  2.968330259450000e+02  1.056534064490000e+02
3.125000000000000e-02  3443619  6.932271523562336e-310  33  1.232868366738862e+01  8.117481510640000e+02  3.263997790390000e+02
